207,2.82,2.71,BANCARIO,2013-10-08,
208,2.71,2.82,BANCARIO,2013-10-09,
209,2.71,2.82,BANCARIO,2013-10-10,
210,2.71,2.82,BANCARIO,2013-10-11,
211,2.71,2.82,BANCARIO,2013-10-12,
212,2.71,2.82,BANCARIO,2013-10-14,
213,2.71,2.82,BANCARIO,2013-10-15,
214,2.71,2.82,BANCARIO,2013-10-16,
215,2.71,2.82,BANCARIO,2013-10-17,
216,2.71,2.82,BANCARIO,2013-10-18,
217,2.71,2.82,BANCARIO,2013-10-19,
218,2.71,2.82,BANCARIO,2013-10-21,
219,2.71,2.82,BANCARIO,2013-10-22,
220,2.71,2.82,BANCARIO,2013-10-21,
221,2.71,2.82,BANCARIO,2013-10-23,
222,2.71,2.82,BANCARIO,2010-01-01,
223,2.71,2.82,BANCARIO,2010-01-01,
224,2.71,2.82,BANCARIO,2013-10-24,
225,2.71,2.82,BANCARIO,2013-10-25,
226,2.71,2.82,BANCARIO,2013-10-26,
227,2.71,2.82,BANCARIO,2013-10-28,
228,2.71,2.82,BANCARIO,2013-10-29,
229,2.75,2.75,BANCARIO,2013-10-30,
230,2.78,2.78,BANCARIO,2013-10-31,
231,2.71,2.82,BANCARIO,2013-11-02,
232,2.71,2.82,BANCARIO,2013-11-04,
233,2.71,2.82,BANCARIO,2013-11-05,
234,2.71,2.82,BANCARIO,2013-11-06,
235,2.71,2.82,BANCARIO,2013-11-07,
236,2.71,2.82,BANCARIO,2013-11-08,
237,2.71,2.82,BANCARIO,2010-01-01,
238,2.71,2.82,BANCARIO,2013-11-09,
239,2.71,2.82,BANCARIO,2013-11-11,
240,2.71,2.82,BANCARIO,2013-11-12,
241,2.71,2.82,BANCARIO,2013-11-13,
242,2.71,2.82,BANCARIO,2013-11-14,
243,2.71,2.82,BANCARIO,2013-11-15,
244,2.71,2.82,BANCARIO,2013-11-16,
245,2.80,2.80,BANCARIO,2013-11-18,
246,2.80,2.80,BANCARIO,2013-11-19,
247,2.80,2.80,BANCARIO,2013-11-20,
248,2.71,2.82,BANCARIO,2013-11-21,
249,2.80,2.80,BANCARIO,2013-11-25,
250,2.80,2.80,BANCARIO,2013-11-26,
251,2.80,2.80,BANCARIO,2013-11-27,
252,2.80,2.80,BANCARIO,2013-11-28,
253,2.80,2.80,BANCARIO,2013-11-29,
254,2.80,2.80,BANCARIO,2013-11-30,
255,2.71,2.82,BANCARIO,2013-12-02,
256,2.80,2.80,BANCARIO,2013-11-30,
257,2.71,2.82,BANCARIO,2013-12-03,
258,2.71,2.82,BANCARIO,2013-12-04,
259,2.75,2.75,BANCARIO,2013-12-05,
260,2.71,2.82,BANCARIO,2013-12-06,
261,2.71,2.82,BANCARIO,2013-12-07,
262,2.71,2.82,BANCARIO,2013-12-09,
263,2.71,2.82,BANCARIO,2013-12-10,
264,2.71,2.82,BANCARIO,2013-12-11,
265,2.80,2.80,BANCARIO,2013-12-12,
266,2.71,2.82,BANCARIO,2013-12-13,
267,2.71,2.82,BANCARIO,2013-12-14,
268,2.80,2.80,BANCARIO,2013-12-16,
269,2.71,2.82,BANCARIO,2013-12-17,
270,2.71,2.82,BANCARIO,2013-12-18,
271,2.80,2.80,BANCARIO,2013-12-19,
272,2.80,2.80,BANCARIO,2013-12-20,
273,2.71,2.82,BANCARIO,2013-12-21,
274,2.80,2.80,BANCARIO,2013-12-23,
275,2.71,2.82,BANCARIO,2013-12-24,
276,2.71,2.82,BANCARIO,2013-12-26,
277,2.71,2.82,BANCARIO,2013-12-27,
278,2.71,2.82,BANCARIO,2013-12-28,
279,2.71,2.82,BANCARIO,2013-12-30,
280,2.71,2.80,BANCARIO,2013-12-31,
281,2.80,2.80,BANCARIO,2014-01-02,
282,2.80,2.80,BANCARIO,2014-01-03,
283,2.71,2.82,BANCARIO,2014-01-04,
284,2.80,2.80,BANCARIO,2014-01-06,
285,2.71,2.82,BANCARIO,2014-01-07,
286,2.80,2.80,BANCARIO,2014-01-08,
287,2.80,2.80,BANCARIO,2014-01-09,
288,2.80,2.80,BANCARIO,2014-01-10,
289,2.80,2.80,BANCARIO,2014-01-11,
290,2.80,2.80,BANCARIO,2014-01-13,
291,2.80,2.80,BANCARIO,2014-01-14,
292,2.80,2.80,BANCARIO,2014-01-15,
293,2.80,2.80,BANCARIO,2014-01-16,
294,2.80,2.80,BANCARIO,2014-01-18,
295,2.80,2.80,BANCARIO,2014-01-20,
296,2.80,2.80,BANCARIO,2014-01-21,
297,2.80,2.80,BANCARIO,2014-01-22,
298,2.80,2.80,BANCARIO,2014-01-23,
299,2.80,2.80,BANCARIO,2014-01-24,
300,2.80,2.80,BANCARIO,2014-01-25,
301,2.80,2.80,BANCARIO,2014-01-27,
302,2.80,2.80,BANCARIO,2014-01-28,
303,2.80,2.80,BANCARIO,2014-01-29,
304,2.80,2.80,BANCARIO,2014-01-30,
305,2.80,2.80,BANCARIO,2014-01-31,
306,2.80,2.80,BANCARIO,2014-02-01,
307,2.80,2.80,BANCARIO,2014-02-05,
308,2.80,2.80,BANCARIO,2014-03-04,
309,2.80,2.80,BANCARIO,2014-02-27,
310,2.80,2.80,BANCARIO,2014-03-05,
311,2.80,2.80,BANCARIO,2014-03-06,
312,2.80,2.80,BANCARIO,2014-03-07,
313,2.80,2.80,BANCARIO,2014-03-08,
314,2.80,2.80,BANCARIO,2014-03-10,
315,2.80,2.80,BANCARIO,2014-03-11,
316,2.80,2.80,BANCARIO,2014-03-12,
317,2.80,2.80,BANCARIO,2014-03-13,
318,2.80,2.80,BANCARIO,2014-03-14,
319,2.80,2.80,BANCARIO,2014-03-15,
320,2.80,2.80,BANCARIO,2014-03-17,
321,2.80,2.80,BANCARIO,2014-03-18,
322,2.80,2.80,BANCARIO,2014-03-19,
323,2.80,2.80,BANCARIO,2014-03-20,
324,2.80,2.80,BANCARIO,2014-03-21,
325,2.80,2.80,BANCARIO,2014-03-22,
326,2.80,2.80,BANCARIO,2014-03-24,
327,2.80,2.80,BANCARIO,2014-03-25,
328,2.80,2.80,BANCARIO,2014-03-26,
329,2.80,2.80,BANCARIO,2014-03-27,
330,2.80,2.80,BANCARIO,2014-03-28,
331,2.80,2.80,BANCARIO,2014-03-29,
332,2.80,2.80,BANCARIO,2014-03-31,
333,2.80,2.80,BANCARIO,2014-04-01,
334,2.80,2.80,BANCARIO,2014-04-02,
335,2.80,2.80,BANCARIO,2014-04-03,
336,2.80,2.80,BANCARIO,2014-04-04,
337,2.80,2.80,BANCARIO,2014-04-05,
